fips_tract,city,state_abbr,NAME,total_population,poverty_rate,median_hh_income,pct_black,pct_no_internet,vacancy_rate,food_desert_proxy,food_desert_source,pct_diabetes,pct_high_bp,pct_obesity,pct_food_insecure,health_source,d4_health_imputed,fdi_score,pull_date,source
28049010806,Jackson,MS,Census Tract 108.06; Hinds County; Mississippi,4345,9.113924050632912,101467.0,30.10356731875719,3.0642309958750737,7.217058501913614,0,ACS_poverty_proxy,10.7,38.1,31.9,9.5,CDC_PLACES_2023_tract,False,21.05,2026-04-17,Census ACS 5-Year 2023
28049010807,Jackson,MS,Census Tract 108.07; Hinds County; Mississippi,2883,10.995490808185918,78646.0,51.057925771765525,2.321857485988791,4.144282425172678,0,ACS_poverty_proxy,13.7,44.9,36.3,13.4,CDC_PLACES_2023_tract,False,23.6,2026-04-17,Census ACS 5-Year 2023
28049010808,Jackson,MS,Census Tract 108.08; Hinds County; Mississippi,4308,5.785315985130112,65989.0,91.64345403899722,7.208872458410351,5.1985981308411215,0,ACS_poverty_proxy,17.1,49.3,44.9,24.1,CDC_PLACES_2023_tract,False,26.31,2026-04-17,Census ACS 5-Year 2023
28049010809,Jackson,MS,Census Tract 108.09; Hinds County; Mississippi,2205,20.63492063492064,58087.0,66.98412698412697,11.964873765093303,11.895551257253386,1,ACS_poverty_proxy,17.9,50.8,44.8,23.1,CDC_PLACES_2023_tract,False,44.04,2026-04-17,Census ACS 5-Year 2023
28049010901,Jackson,MS,Census Tract 109.01; Hinds County; Mississippi,2514,25.908667287977632,39583.0,82.06046141607001,18.581907090464547,21.572387344199427,1,ACS_poverty_proxy,19.6,51.2,48.3,35.8,CDC_PLACES_2023_tract,False,50.58,2026-04-17,Census ACS 5-Year 2023
28049010902,Jackson,MS,Census Tract 109.02; Hinds County; Mississippi,1302,52.660406885759,21144.0,90.01536098310292,17.922948073701843,22.76843467011643,1,ACS_poverty_proxy,27.5,60.6,53.1,46.0,CDC_PLACES_2023_tract,False,59.19,2026-04-17,Census ACS 5-Year 2023
28049011001,Jackson,MS,Census Tract 110.01; Hinds County; Mississippi,4837,29.27252985884908,42371.0,91.08951829646476,6.422018348623854,23.68204283360791,1,ACS_poverty_proxy,17.6,47.8,47.4,38.7,CDC_PLACES_2023_tract,False,47.67,2026-04-17,Census ACS 5-Year 2023
28049011002,Jackson,MS,Census Tract 110.02; Hinds County; Mississippi,3963,15.976331360946746,47295.0,95.7860206913954,1.9461077844311376,14.083601286173634,0,ACS_poverty_proxy,19.4,50.8,50.7,41.9,CDC_PLACES_2023_tract,False,30.87,2026-04-17,Census ACS 5-Year 2023
28049011101,Jackson,MS,Census Tract 111.01; Hinds County; Mississippi,2333,27.53430721558212,56500.0,62.194599228461215,5.649038461538462,17.46031746031746,1,ACS_poverty_proxy,19.4,51.8,48.2,34.0,CDC_PLACES_2023_tract,False,45.52,2026-04-17,Census ACS 5-Year 2023
28049011103,Jackson,MS,Census Tract 111.03; Hinds County; Mississippi,5642,3.771898462638541,77081.0,83.83551931939029,8.390705679862306,10.58099268949596,0,ACS_poverty_proxy,11.9,41.1,40.5,19.1,CDC_PLACES_2023_tract,False,24.71,2026-04-17,Census ACS 5-Year 2023
